"subject" "activity" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroMag-std()" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAccMag-mean()" "tGravityAccMag-std()"
"1" 1 "LAYING" -0.41456118778549 -0.39199880358125 -0.422191162460784 -0.412071179439804 -0.42569195619375 -0.455629302417647 -0.60720581242 -0.560531316773585 -0.557105172049057 -0.463868188176471 -0.522591882789583 -0.579450778176471 -0.5495603004 -0.5398781528625 -0.606957620470588 -0.54666753748 -0.502235947307692 -0.50548884025 -0.605260445019608 -0.612453970708333 -0.486024276404082 -0.619696046278431 -0.614433698392157 -0.488044854903846 -0.720600009011765 -0.773516025041667 -0.469371751212041 -0.656310194958333 -0.655868968098039 -0.473556623442308 -0.595709447529412 -0.644996937854167 -0.652290783533333 -0.579972482137255 -0.639573761458333 -0.64405197274902 -0.530071583204082 -0.476004401817885 -0.458855726557692 -0.476950195115686 -0.490653783435294 -0.780992568680392 -0.726147019958824 -0.764195845770833 -0.503799980497959 -0.493190103871154 -0.500775417738462 -0.673332655961538 -0.632585741673077 -0.710006544673469 -0.39691320224902 -0.67053049592 -0.428816952004167 -0.679679100056604 -0.503545764377551 -0.493529137940385 -0.453677233064808 -0.634936846705769 -0.592342149307692 -0.671085630428571 -0.446566530752449 -0.418415204057692 -0.417338352832692 -0.645290387679245 -0.641847855837736 -0.69547572858 -0.41825902813 -0.636875279339623 -0.424213019333333 -0.627243835 -0.47647390398125 -0.537206557759615 -0.504492207075 -0.725517713643137 -0.732498711372549 -0.7455668199375 -0.413085370901961 -0.667601285169811
"2" 1 "SITTING" -0.731187086715417 -0.73428870470625 -0.690939061143778 -0.714095942833333 -0.6890024266 -0.725376072955556 -0.493969788625 -0.504421041131111 -0.512538105289583 -0.715150496979167 -0.687094869208333 -0.628026319695652 -0.676528227918367 -0.676884337346939 -0.711168322804348 -0.518937529427083 -0.520442068219565 -0.5343384337 -0.646513135673469 -0.659779031632653 -0.529593583428571 -0.622802502397826 -0.627306690789796 -0.509142471213043 -0.59606835344898 -0.589147023020408 -0.51229697794898 -0.616465641134694 -0.607747334052174 -0.518913116793878 -0.700318188673469 -0.707084911979592 -0.686514438065217 -0.688308161102041 -0.679033369853061 -0.651804954441304 -0.551724657102041 -0.541885955993478 -0.525743565369388 -0.520114197686957 -0.460681360326531 -0.582375110378261 -0.58748443862 -0.5673843735 -0.504177638041667 -0.500254437333333 -0.4664360144375 -0.569238863804348 -0.57764573724898 -0.589864746653061 -0.666558582477083 -0.483545176772917 -0.631403627541667 -0.523568813122889 -0.476300283354167 -0.5106553634 -0.498713403125 -0.565095803195652 -0.538118193814286 -0.552852192853061 -0.520998874104167 -0.605629366133333 -0.623030736079167 -0.498710974222222 -0.520593805852083 -0.507568118733333 -0.700937965804444 -0.4944923038625 -0.685962788472917 -0.470078143788889 -0.474796304213469 -0.487837536444444 -0.498458412879167 -0.586962253617021 -0.5889076688106 -0.58271040866 -0.637522884613333 -0.50958320963125
"3" 1 "STANDING" -0.619807313344231 -0.605967361732143 -0.629073127498214 -0.616825752337736 -0.613301020578571 -0.624637623517857 -0.609087245042593 -0.67149604662037 -0.676923893929412 -0.636448000209434 -0.650638318105357 -0.621925381838182 -0.598653662059615 -0.560787786116364 -0.522138106481818 -0.688590674759259 -0.667515225833333 -0.660515299294118 -0.493594358786538 -0.481123569163636 -0.713982594888889 -0.482836936930909 -0.477013010663462 -0.695493711203704 -0.509471873238462 -0.505544433469091 -0.683796609296296 -0.476440295410909 -0.513429426327273 -0.705516680895882 -0.543777629796154 -0.520195684652727 -0.500760333434545 -0.459232816401923 -0.466748047629091 -0.505834068429636 -0.670590227592593 -0.661322379333333 -0.703949366196078 -0.697701299818182 -0.701354689326923 -0.514131249472727 -0.511244839194118 -0.492879517748111 -0.737772812345455 -0.739810095745455 -0.780258321 -0.494953191914815 -0.479705224570588 -0.473225404238704 -0.622036593615385 -0.598389448490741 -0.694281724036364 -0.587693674494444 -0.784237563236364 -0.712654521727273 -0.722427208211538 -0.5098092662095 -0.538516952539216 -0.5345035550775 -0.747359659109091 -0.692996549550909 -0.718147194689231 -0.558419358148148 -0.537918009258235 -0.529029413642593 -0.643746566854545 -0.61368371962549 -0.6222254698 -0.610696150481482 -0.735308361454545 -0.715077378636364 -0.709883074600769 -0.492038187070741 -0.494304677236863 -0.481883128925926 -0.648953415727273 -0.598274510005882
"4" 1 "WALKING" -0.198097627418367 -0.198147940925263 -0.203852979771531 -0.196808956088776 -0.191736643413684 -0.210224661878571 -0.112788721905376 -0.127174485815625 -0.113854993440312 -0.206195213671429 -0.186558435631579 -0.209649704341837 -0.189245743338776 -0.194057415154737 -0.204605852399082 -0.100773580066667 -0.129409136797708 -0.13379365711875 -0.199042003929592 -0.203933890034737 -0.146125601066667 -0.179019157733673 -0.186699679359184 -0.142355491822917 -0.175684431195918 -0.15034024564 -0.155839065402151 -0.178215364772632 -0.165265472763265 -0.1587357629375 -0.198455736794296 -0.202827151681053 -0.184958725795918 -0.172854840527551 -0.188391295996842 -0.189116694434694 -0.1327002968 -0.142756844396875 -0.15053954415625 -0.144918004611031 -0.142662447 -0.160455020723469 -0.15578840045 -0.156378811829787 -0.16227213969117 -0.186332894634124 -0.172893932432371 -0.152126826113814 -0.155202538449485 -0.131930250975532 -0.174478390150204 -0.122385845576344 -0.195954440184105 -0.128105990376392 -0.173503795456383 -0.171047490152577 -0.169186268607217 -0.130762757301031 -0.0871994164680412 -0.117192074473404 -0.18050769762766 -0.190374477247423 -0.183778433548454 -0.133730349138144 -0.117300524658763 -0.122469700467021 -0.191078374595918 -0.137179844007292 -0.186135341170526 -0.123006456603125 -0.15008068507234 -0.166582599937113 -0.136747644586598 -0.174358171422165 -0.15852635988866 -0.146497773447872 -0.187398731193878 -0.117894938678351
"5" 1 "WALKING_DOWNSTAIRS" -0.111973653612245 -0.0681759553442308 -0.105773065472041 -0.141152856012245 -0.182405748244231 -0.131732943771429 -0.129705928550566 -0.104145966048 -0.091787772104 -0.119467892212245 -0.0952407115173077 -0.101151898455102 -0.103747325214694 -0.0776082361461539 -0.106259573689796 -0.0986991093339623 -0.0761936633857143 -0.0733531350728571 -0.0889581897916667 -0.144864652445098 -0.105273098487843 -0.193549982789583 -0.142831078545833 -0.08156248004375 -0.163738222133333 -0.203009910031373 -0.0988097850270588 -0.127699476431373 -0.143316603952083 -0.0946397358541667 -0.0917429663346939 -0.0818364796055769 -0.0983885643122449 -0.0674266172693878 -0.0865986101568628 -0.130163441708333 -0.105736822980769 -0.141245257758333 -0.11068334015625 -0.0656568897895833 -0.102087374854167 -0.183525712125 -0.18075969683125 -0.193703244230769 -0.0941557741372549 -0.0794692277291667 -0.107975304377083 -0.142330764661224 -0.150807782020408 -0.169251952698846 -0.10564058444375 -0.148490652462264 -0.117440285085294 -0.121549679040816 -0.104525860484314 -0.114757333145833 -0.103671594741667 -0.181210964204082 -0.177335909518367 -0.197642670321154 -0.111374160784314 -0.08906048395625 -0.122985407545833 -0.176977333823878 -0.163207729981633 -0.173716113878846 -0.14385140094898 -0.141584178448 -0.0939679749215686 -0.143653854128 -0.116124758551961 -0.108688138291667 -0.0672026343854167 -0.183226221755102 -0.124305940467939 -0.128773155653846 -0.14793790905625 -0.118309180267347
"6" 1 "WALKING_UPSTAIRS" -0.299041778187273 -0.254114674070588 -0.287585303685185 -0.302303835231481 -0.291393623490196 -0.27373129912963 -0.340236976098039 -0.382212168777778 -0.388730609498148 -0.289244200722222 -0.295252414764706 -0.298146847314815 -0.250274678796296 -0.247859234529412 -0.277048992948148 -0.391150816778431 -0.412399014943636 -0.42566806712 -0.246529211611111 -0.224808630568627 -0.390138442250943 -0.2184524135 -0.213234377338889 -0.401217404232143 -0.227238922748148 -0.230994260490196 -0.373942783956604 -0.225644129739216 -0.235426878425926 -0.398937303828393 -0.285780137431482 -0.283007821160784 -0.288525368735185 -0.281308867709259 -0.2730482551 -0.253115025164259 -0.386435348173077 -0.397886668357143 -0.404709472482143 -0.368201866469643 -0.374261230558929 -0.2288991131 -0.208857296203704 -0.213734068313725 -0.381956749566038 -0.3711240950375 -0.3712462970625 -0.256234510412963 -0.250391114035185 -0.255831354039216 -0.323589225800357 -0.2921598636 -0.318342446607547 -0.2612649385 -0.3716585584 -0.379629970389286 -0.377606213055357 -0.266801818783333 -0.278571718612963 -0.26414380272549 -0.354266369096226 -0.357451834142857 -0.350485395657143 -0.249224675518519 -0.265705398194444 -0.243045774935294 -0.3202172072 -0.358671635553704 -0.308828076169811 -0.328809297788889 -0.359168007126415 -0.37164873425 -0.3816437361375 -0.234446406518519 -0.234381308172037 -0.220649825805294 -0.2966613172125 -0.288725039840741
"7" 2 "LAYING" -0.436387303061224 -0.430208626591837 -0.42740969226875 -0.413950452710417 -0.425070059870833 -0.382282252825 -0.821346051020833 -0.805172844104167 -0.77689977484898 -0.43615313275625 -0.430416809683333 -0.430217557929167 -0.431822542275833 -0.44936475725 -0.415675453127083 -0.779961319 -0.771554238816327 -0.783584904702041 -0.471654709329167 -0.478262856772917 -0.719677586346939 -0.49848866956875 -0.531248224408333 -0.71243538946 -0.557875834104167 -0.539825470291667 -0.69157770578 -0.509807838872083 -0.515575626527083 -0.71025626075868 -0.39429889993125 -0.410491074341667 -0.43927484996875 -0.449282282770833 -0.4483219782625 -0.460622651397917 -0.760583472714286 -0.764339231897959 -0.744540291673469 -0.71433922672 -0.66936360186 -0.5713465120625 -0.592392069227083 -0.5962903219875 -0.59614733718 -0.56253866564 -0.56977760806 -0.66325168188125 -0.725798401041667 -0.743295662791667 -0.452659702551225 -0.782109119375 -0.470388034608163 -0.829240656791667 -0.56268740714 -0.51906160248 -0.52639784866 -0.737285013291667 -0.744642273916667 -0.737851583145833 -0.5252470844 -0.476588135408 -0.458317069034694 -0.781629587041667 -0.775575327208333 -0.773409123145833 -0.445968524673469 -0.819743237854167 -0.445763710555102 -0.809029252833333 -0.661372835716 -0.63070366656 -0.60549128992 -0.612532984083333 -0.6145953220625 -0.617158998104167 -0.471738099836735 -0.8142649246875
"8" 2 "SITTING" -0.54641743174 -0.542283341204444 -0.572738674541667 -0.564610835955556 -0.584867558533333 -0.618575101604167 -0.486931671992979 -0.488097228544 -0.44786876408 -0.613593394933333 -0.612172232555556 -0.6814478431875 -0.7102410418 -0.722707495893333 -0.75813936753125 -0.455055998984783 -0.470767987285714 -0.482339428271739 -0.809346375288889 -0.801780464733333 -0.439830416547826 -0.805589665895833 -0.8141611508 -0.429711532484792 -0.814428071288889 -0.799514690866667 -0.453525674042222 -0.811477517355556 -0.8071592074375 -0.464671798228889 -0.752040154822222 -0.737245816777778 -0.759719479104167 -0.785235912888889 -0.8044376296 -0.812898948270833 -0.476424744795652 -0.457381398553061 -0.446292111584783 -0.41147595829375 -0.433445780597778 -0.775610261628571 -0.77417319876087 -0.771210590217391 -0.420048192402222 -0.466884972929375 -0.473212890584444 -0.73927279012 -0.717419819595745 -0.713756497485106 -0.530177277793333 -0.552824786680851 -0.460549312917778 -0.538538874826 -0.425016401973333 -0.503598173425833 -0.467596788857778 -0.6698453939108 -0.651298548553191 -0.659640680404255 -0.506965842868889 -0.497084109022917 -0.482639267678667 -0.62795089621 -0.607294442993617 -0.629860508744681 -0.541680178729167 -0.485339645718723 -0.552800479506667 -0.48153436946188 -0.427898405248889 -0.427322720654167 -0.430596392424444 -0.789257665306122 -0.761993098221739 -0.741874843865217 -0.526673113441667 -0.515709965821277
"9" 2 "STANDING" -0.79537224932037 -0.789992015501724 -0.739279277903846 -0.757033699400179 -0.759980447642373 -0.764568698037736 -0.504964301554386 -0.528450971645686 -0.516777395492593 -0.767571483266071 -0.744944619220339 -0.727846687226415 -0.72055775075 -0.68907680429661 -0.665719012754717 -0.528507595668421 -0.496033476660784 -0.525084700740741 -0.531675166389286 -0.522004796881356 -0.595241035052632 -0.491874724150943 -0.506158579357143 -0.596255880198039 -0.500651929619643 -0.515215944189831 -0.605846863087719 -0.500766691186441 -0.490746405439623 -0.622823432148148 -0.635206482955357 -0.610209493033898 -0.584178650396226 -0.606427657025 -0.568413405733898 -0.53924263954717 -0.53165048284386 -0.556459035570588 -0.572859221851852 -0.630801449078431 -0.633546340388889 -0.495039928111538 -0.508749426629091 -0.488207174494828 -0.68433852522807 -0.765725123145098 -0.76473183912963 -0.480259675413922 -0.458848714905556 -0.438931411857895 -0.803958645666667 -0.476841089492982 -0.810633125794737 -0.468670496627451 -0.780835181982456 -0.779326826823529 -0.79082765887037 -0.475947312235294 -0.451415017666667 -0.449022781673684 -0.773197293210526 -0.832203831019608 -0.805363141388889 -0.438796217431373 -0.441292270803704 -0.464278566436842 -0.813421082064706 -0.501458296018519 -0.785592587631579 -0.48702795877902 -0.640775522561403 -0.654217229866667 -0.688639152574074 -0.486414322782692 -0.485832420301818 -0.478145325955862 -0.804679895764706 -0.478534788535185
"10" 2 "WALKING" -0.364937295419672 -0.373402787721311 -0.344838153254237 -0.331679296112903 -0.345811078370968 -0.327404535374576 -0.20732926829 -0.179930753035088 -0.2086821595745 -0.332723614322581 -0.32890734178871 -0.333433273637288 -0.328854503900484 -0.322804467025806 -0.296655420067797 -0.186231135958333 -0.193118438403509 -0.22093905317 -0.284508781929032 -0.26797907930871 -0.2059802504 -0.244841293542373 -0.257650053387097 -0.24378519004386 -0.236028514758197 -0.217770566209836 -0.226330007675 -0.24492517166129 -0.263915740081034 -0.219669062947333 -0.293320909437097 -0.286395770848387 -0.254536487779661 -0.265440215951613 -0.257549263622581 -0.2718127587 -0.197414279783333 -0.209768155736842 -0.218177339833333 -0.235605931245614 -0.23434405855 -0.247445632934483 -0.250142843052459 -0.250072399655738 -0.288046740183333 -0.281054324501754 -0.2855601928 -0.213690080418246 -0.216912887403333 -0.200868141766667 -0.340719888409836 -0.2008586989 -0.349385668477049 -0.219766300924561 -0.293433771256667 -0.314438707736842 -0.329517184216667 -0.220803690549123 -0.224295768743333 -0.21499406545 -0.331877835716667 -0.342546787859649 -0.346937983081967 -0.211003337896491 -0.187405081506667 -0.207770868483333 -0.357567711753448 -0.214309832123333 -0.339778274315902 -0.198653063359649 -0.242852234083333 -0.265234481982456 -0.2674156864 -0.215769562775862 -0.222555398442623 -0.19422924509377 -0.356433589844828 -0.208385361593333
